[2024-12-27 16:38:48,808] 22  root - INFO - Initiate the data ingestion
[2024-12-27 16:38:52,188] 68  root - INFO - Performed train test split on the dataframe
[2024-12-27 16:38:52,188] 70  root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2024-12-27 16:38:52,188] 75  root - INFO - Exporting train and test file path
[2024-12-27 16:38:52,322] 81  root - INFO - Exported train and test file path
[2024-12-27 16:38:52,323] 24  root - INFO - data Initiation completed
[2024-12-27 16:38:52,335] 27  root - INFO - Initiate data validation
[2024-12-27 16:38:52,510] 32  root - INFO - Required NumberOfColumns: 31
[2024-12-27 16:38:52,510] 33  root - INFO - Data Frame has Column: 31
[2024-12-27 16:38:52,511] 32  root - INFO - Required NumberOfColumns: 31
[2024-12-27 16:38:52,511] 33  root - INFO - Data Frame has Column: 31
[2024-12-27 16:38:52,885] 29  root - INFO - Data validation Completed
[2024-12-27 16:38:52,885] 31  root - INFO - Data transformation started
[2024-12-27 16:38:52,885] 51  root - INFO - Entered initiate_data_transformation
[2024-12-27 16:38:52,885] 53  root - INFO - Starting data transformation
[2024-12-27 16:38:52,920] 40  root - INFO - Entered get_data_transformer_object method of transformation class
[2024-12-27 16:38:52,920] 43  root - INFO - Initialise KNNImputer with {DATA_TRANSFORMATION_IMPUTER_PARAMS}
[2024-12-27 16:38:52,965] 41  root - INFO - Entered the save object method of main utils class
[2024-12-27 16:38:53,028] 45  root - INFO - Exited the save_object method of main utils class
[2024-12-27 16:38:53,029] 34  root - INFO - Data transformation completed successfully
[2024-12-27 16:38:53,031] 38  root - INFO - Model Training Started
