[2024-12-27 11:50:22,972] 17  root - INFO - Initiate the data ingestion
[2024-12-27 11:50:32,287] 68  root - INFO - Performed train test split on the dataframe
[2024-12-27 11:50:32,287] 70  root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2024-12-27 11:50:32,289] 75  root - INFO - Exporting train and test file path
[2024-12-27 11:50:32,488] 81  root - INFO - Exported train and test file path
[2024-12-27 11:50:32,489] 19  root - INFO - data Initiation completed
[2024-12-27 11:50:32,566] 22  root - INFO - Initiate data validation
[2024-12-27 11:50:32,742] 32  root - INFO - Required NumberOfColumns: 31
[2024-12-27 11:50:32,743] 33  root - INFO - Data Frame has Column: 31
[2024-12-27 11:50:32,743] 32  root - INFO - Required NumberOfColumns: 31
[2024-12-27 11:50:32,743] 33  root - INFO - Data Frame has Column: 31
[2024-12-27 11:50:33,025] 24  root - INFO - Data validation Completed
