[2024-12-27 11:57:58,594] 17  root - INFO - Initiate the data ingestion
[2024-12-27 11:58:02,309] 68  root - INFO - Performed train test split on the dataframe
[2024-12-27 11:58:02,309] 70  root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2024-12-27 11:58:02,309] 75  root - INFO - Exporting train and test file path
[2024-12-27 11:58:02,391] 81  root - INFO - Exported train and test file path
[2024-12-27 11:58:02,392] 19  root - INFO - data Initiation completed
[2024-12-27 11:58:02,405] 22  root - INFO - Initiate data validation
[2024-12-27 11:58:02,489] 32  root - INFO - Required NumberOfColumns: 31
[2024-12-27 11:58:02,490] 33  root - INFO - Data Frame has Column: 31
[2024-12-27 11:58:02,490] 32  root - INFO - Required NumberOfColumns: 31
[2024-12-27 11:58:02,490] 33  root - INFO - Data Frame has Column: 31
[2024-12-27 11:58:02,697] 24  root - INFO - Data validation Completed
[2024-12-27 11:58:02,697] 26  root - INFO - Data transformation started
[2024-12-27 11:58:02,698] 50  root - INFO - Entered initiate_data_transformation
[2024-12-27 11:58:02,698] 52  root - INFO - Starting data transformation
