[2024-12-27 12:11:38,882] 17  root - INFO - Initiate the data ingestion
[2024-12-27 12:11:42,609] 68  root - INFO - Performed train test split on the dataframe
[2024-12-27 12:11:42,609] 70  root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2024-12-27 12:11:42,610] 75  root - INFO - Exporting train and test file path
[2024-12-27 12:11:42,690] 81  root - INFO - Exported train and test file path
[2024-12-27 12:11:42,693] 19  root - INFO - data Initiation completed
[2024-12-27 12:11:42,703] 22  root - INFO - Initiate data validation
[2024-12-27 12:11:42,773] 32  root - INFO - Required NumberOfColumns: 31
[2024-12-27 12:11:42,773] 33  root - INFO - Data Frame has Column: 31
[2024-12-27 12:11:42,774] 32  root - INFO - Required NumberOfColumns: 31
[2024-12-27 12:11:42,774] 33  root - INFO - Data Frame has Column: 31
[2024-12-27 12:11:42,995] 24  root - INFO - Data validation Completed
[2024-12-27 12:11:42,996] 26  root - INFO - Data transformation started
[2024-12-27 12:11:42,997] 51  root - INFO - Entered initiate_data_transformation
[2024-12-27 12:11:42,997] 53  root - INFO - Starting data transformation
[2024-12-27 12:11:43,034] 40  root - INFO - Entered get_data_transformer_object method of transformation class
[2024-12-27 12:11:43,034] 43  root - INFO - Initialise KNNImputer with {DATA_TRANSFORMATION_IMPUTER_PARAMS}
[2024-12-27 12:11:43,067] 38  root - INFO - Entered the save object method of main utils class
[2024-12-27 12:11:43,071] 42  root - INFO - Exited the save_object method of main utils class
[2024-12-27 12:11:43,072] 29  root - INFO - Data transformation completed successfully
