[2024-12-27 16:26:44,810] 22  root - INFO - Initiate the data ingestion
[2024-12-27 16:26:52,173] 68  root - INFO - Performed train test split on the dataframe
[2024-12-27 16:26:52,174] 70  root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2024-12-27 16:26:52,174] 75  root - INFO - Exporting train and test file path
[2024-12-27 16:26:52,645] 81  root - INFO - Exported train and test file path
[2024-12-27 16:26:52,646] 24  root - INFO - data Initiation completed
[2024-12-27 16:26:52,742] 27  root - INFO - Initiate data validation
[2024-12-27 16:26:52,807] 32  root - INFO - Required NumberOfColumns: 31
[2024-12-27 16:26:52,807] 33  root - INFO - Data Frame has Column: 31
[2024-12-27 16:26:52,808] 32  root - INFO - Required NumberOfColumns: 31
[2024-12-27 16:26:52,808] 33  root - INFO - Data Frame has Column: 31
[2024-12-27 16:26:53,120] 29  root - INFO - Data validation Completed
[2024-12-27 16:26:53,121] 31  root - INFO - Data transformation started
[2024-12-27 16:26:53,121] 51  root - INFO - Entered initiate_data_transformation
[2024-12-27 16:26:53,121] 53  root - INFO - Starting data transformation
[2024-12-27 16:26:53,169] 40  root - INFO - Entered get_data_transformer_object method of transformation class
[2024-12-27 16:26:53,169] 43  root - INFO - Initialise KNNImputer with {DATA_TRANSFORMATION_IMPUTER_PARAMS}
[2024-12-27 16:26:53,239] 41  root - INFO - Entered the save object method of main utils class
[2024-12-27 16:26:53,376] 45  root - INFO - Exited the save_object method of main utils class
[2024-12-27 16:26:53,378] 34  root - INFO - Data transformation completed successfully
[2024-12-27 16:26:53,380] 38  root - INFO - Model Training Started
