[2024-12-27 16:37:33,777] 22  root - INFO - Initiate the data ingestion
[2024-12-27 16:37:37,135] 68  root - INFO - Performed train test split on the dataframe
[2024-12-27 16:37:37,135] 70  root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2024-12-27 16:37:37,136] 75  root - INFO - Exporting train and test file path
[2024-12-27 16:37:37,223] 81  root - INFO - Exported train and test file path
[2024-12-27 16:37:37,223] 24  root - INFO - data Initiation completed
[2024-12-27 16:37:37,233] 27  root - INFO - Initiate data validation
[2024-12-27 16:37:37,330] 32  root - INFO - Required NumberOfColumns: 31
[2024-12-27 16:37:37,331] 33  root - INFO - Data Frame has Column: 31
[2024-12-27 16:37:37,331] 32  root - INFO - Required NumberOfColumns: 31
[2024-12-27 16:37:37,331] 33  root - INFO - Data Frame has Column: 31
[2024-12-27 16:37:37,647] 29  root - INFO - Data validation Completed
[2024-12-27 16:37:37,658] 31  root - INFO - Data transformation started
[2024-12-27 16:37:37,658] 51  root - INFO - Entered initiate_data_transformation
[2024-12-27 16:37:37,658] 53  root - INFO - Starting data transformation
[2024-12-27 16:37:37,743] 40  root - INFO - Entered get_data_transformer_object method of transformation class
[2024-12-27 16:37:37,743] 43  root - INFO - Initialise KNNImputer with {DATA_TRANSFORMATION_IMPUTER_PARAMS}
[2024-12-27 16:37:37,792] 41  root - INFO - Entered the save object method of main utils class
[2024-12-27 16:37:37,827] 45  root - INFO - Exited the save_object method of main utils class
[2024-12-27 16:37:37,828] 34  root - INFO - Data transformation completed successfully
[2024-12-27 16:37:37,913] 38  root - INFO - Model Training Started
